time	pos_x	vel_x	pos_y	vel_y
0	0.17500001	 17.500001	0.30261889	 30.212889
0.01	0.35000001	 17.500001	0.60425778	 30.114889
0.02	0.52500002	 17.500001	0.90491666	 30.016889
0.03	0.70000002	 17.500001	 1.2045956	 29.918889
0.04	0.87500003	 17.500001	 1.5032944	 29.820889
0.05	     1.05	17.500001	1.8010133	29.722889
0.06	    1.225	17.500001	2.0977522	29.624889
0.07	      1.4	17.500001	2.3935111	29.526889
0.08	    1.575	17.500001	  2.68829	29.428889
0.09	1.7500001	17.500001	2.9820889	29.330889
0.1	1.9250001	17.500001	3.2749078	29.232889
0.11	2.1000001	17.500001	3.5667467	29.134889
0.12	2.2750001	17.500001	3.8576055	29.036889
0.13	2.4500001	17.500001	4.1474844	28.938889
0.14	2.6250001	17.500001	4.4363833	28.840889
0.15	2.8000001	17.500001	4.7243022	28.742889
0.16	2.9750001	17.500001	5.0112411	28.644889
0.17	3.1500001	17.500001	   5.2972	28.546889
0.18	3.3250001	17.500001	5.5821789	28.448889
0.19	3.5000001	17.500001	5.8661778	28.350889
0.2	3.6750001	17.500001	6.1491967	28.252889
0.21	3.8500001	17.500001	6.4312355	28.154889
0.22	4.0250001	17.500001	6.7122944	28.056889
0.23	4.2000001	17.500001	6.9923733	27.958889
0.24	4.3750001	17.500001	7.2714722	27.860889
0.25	4.5500001	17.500001	7.5495911	27.762889
0.26	4.7250001	17.500001	  7.82673	27.664889
0.27	4.9000002	17.500001	8.1028889	27.566889
0.28	5.0750002	17.500001	8.3780678	27.468889
0.29	5.2500002	17.500001	8.6522666	27.370889
0.3	5.4250002	17.500001	8.9254855	27.272889
0.31	5.6000002	17.500001	9.1977244	27.174889
0.32	5.7750002	17.500001	9.4689833	27.076889
0.33	5.9500002	17.500001	9.7392622	26.978889
0.34	6.1250002	17.500001	10.008561	26.880889
0.35	6.3000002	17.500001	 10.27688	26.782889
0.36	6.4750002	17.500001	10.544219	26.684889
0.37	6.6500002	17.500001	10.810578	26.586889
0.38	6.8250002	17.500001	11.075957	26.488889
0.39	7.0000002	17.500001	11.340356	26.390889
0.4	7.1750002	17.500001	11.603774	26.292889
0.41	7.3500002	17.500001	11.866213	26.194889
0.42	7.5250002	17.500001	12.127672	26.096889
0.43	7.7000002	17.500001	12.388151	25.998889
0.44	7.8750002	17.500001	 12.64765	25.900889
0.45	8.0500002	17.500001	12.906169	25.802889
0.46	8.2250003	17.500001	13.163708	25.704889
0.47	8.4000003	17.500001	13.420267	25.606889
